ID	Sample_or_Control	Bottle	Participant	TimePoint	Sugar	pH	Oxygen	PFAS	BatchID
B72M4	experimental	M4	M	72	glucose	pH7	Aerobic	Yes	B006
B72M5	experimental	M5	M	72	lactose	pH2	Anaerobic	Yes	B006
B72M6	experimental	M6	M	72	lactose	pH7	Anaerobic	Yes	B006
B72M7	experimental	M7	M	72	glucose	pH2	Anaerobic	Yes	B006
B72M8	experimental	M8	M	72	glucose	pH7	Anaerobic	Yes	B006
B72M12	experimental	M12	M	72	glucose	pH7	Aerobic	No	B006
B72M13	experimental	M13	M	72	lactose	pH2	Anaerobic	No	B006
B72M14	experimental	M14	M	72	lactose	pH7	Anaerobic	No	B006
B72M15	experimental	M15	M	72	glucose	pH2	Anaerobic	No	B006
B72M16	experimental	M16	M	72	glucose	pH7	Anaerobic	No	B006
BlankB001	control								B001
BlankB002	control								B002
BlankB003	control								B003
BlankB004	control								B004
BlankB005	control								B005
BlankB006	control								B006
FStool	experimental		F						B006
MStool	experimental		M						B006
NTC	control								
