Sample_ID,Participant,Bottle_ID,Incubation,pH,Redox,Carbon,PFAS,Time,PFOA,diPAP,monoPAP ,FTOH,PFHxA,PFOA_Norm,diPAP_Norm
B24F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,24,4614,5101.334666,0,3.08,4.240898855,153.7962011,170.0444889
B24F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,24,3550,6793.47556,29.1,2.14,0,118.3193807,226.4491853
B24F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,24,4046,8050.606045,0,2.14,0,134.8535796,268.3535348
B24F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,24,3346,6659.367807,23.9,0,4.103742153,111.5291637,221.9789269
B24F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,24,3949,6946.867183,0,2.4,4.537944111,131.6172267,231.5622394
B24F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,24,0,0,0,0,0,NA,NA
B24F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,24,0,0,0,2.04,0,NA,NA
B24F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,24,0,0,0,0,0,NA,NA
B24F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,24,0,0,0,2.22,0,NA,NA
B24F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,24,0,0,0,2.11,0,NA,NA
B24F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,72,0,0,0,0,0,NA,NA
B72F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,72,NA,1274.899319,23.9,0,5.591621951,NA,42.49664396
B72F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,72,NA,1125.623406,0,2.51,7.081147695,NA,37.52078019
B72F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,72,3837,1189.308483,20.9,2.01,0,127.9104413,39.6436161
B72F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,72,4075,1210.019814,0,2.53,4.669473212,135.8358653,40.33399381
B72F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,72,3745,1541.932384,22.9,2,4.310353151,124.8201716,51.39774613
B72F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,72,4069,1347.194675,0,2.29,4.537544394,135.6487778,44.90648916
B72F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,72,3980,1522.156533,21.9,0,3.451780693,132.6561074,50.73855108
B72F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,72,NA,490.0268731,0,2.05,0,NA,16.3342291
B72F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,72,0,0,0,0,0,NA,NA
B72F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,72,5.152700371,0,0,0,0,NA,NA
B72F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,72,0,0,0,0,0,NA,NA
B72F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,72,0,0,0,0,0,NA,NA
B72F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,72,0,0,0,0,0,NA,NA
