Feature ID	Taxon	Confidence
e31dbbe475426755db86d8bb418d6182	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.910404994531051
c1285aaf709f615f61543d85bf0158d7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.9165666767999935
e1fe31777e94c7719d0318beec777d9a	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.902487616593762
1780b2c79a3de965b4c978266f9768b5	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9149094885036253
62f1a4a6aeef772fec90fd8776083310	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.8974440706684739
27f3981d0bb4c62eed378fb3ed5e237f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.8583865523486904
c7df5336bf8c2df51735ad188921ab0b	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9122097072872193
1cb5b931468f8e5f7efeccf8f3a64156	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.7002186564137413
e32bb36737bc71bd20648fa360542cc1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.9560570762972569
67ab6e4db9d5b77d392f59ef0ea1f214	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.7891541367284574
92bd43a8c2c4098624a165bbef2e1f9d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.7568795283180837
45e030c2bc575d3a9be82c9d6a5efbce	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.8844552939129995
1562437338d6b2f361d92b55bfcfa175	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9054169722829685
ffd4be92c114b27387199682a1ebd1ca	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9101643565773996
69a8c7c76ba5f5c10eee8c5d494afa90	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.8921112930388093
102d3ff74345d38f2666ad1acdc613b6	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9167302655410352
d9ec370b41c8aab46fb74aaacdb7ef5a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9999464681191274
d435a814f6fbbbebf739d670229cbc18	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.8530810324872917
4c8dea7a8720ef659452d257fda4ee68	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9167305978649998
9fa9ac1edfb63726a2f733ef0607b70d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.8022224007624743
2b912e236e43391a668a38bb755b12a1	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9202573556381104
47c2ff1c463ca4b31e1c3a15d5f52b95	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A	0.9999557625873029
54144a9c9c999e1deac5e7e8963cf66e	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9202576901717483
0267f53557bb5022cca96f3f9db93366	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.7302021442583259
074695af5caa914286a39b0d53c0f700	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.8928751769992107
860c74e4aeee5dba2f4646f083160252	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.9102470152086516
fd7c2f25848837f58ad8c4292ae7fdfa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Enterobacteriaceae_A; g__Escherichia_710834	0.7883670280201689
b826a350e91db94d44a96e2cad1eaeb8	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_D	0.9106734304880043
