# Constructed from biom file
#OTU ID	SP_F1	SP_F2	SP_F3	SP_M1	SP_M2	SP_M3
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141780	0.0	0.0	0.00013947244547499085	0.011265300227472408	0.0	0.010583817002389894
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-138;g__	0.0	0.009083462273596068	0.0	0.000276818274820369	0.00021077988557663353	0.0003048334390089255
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.00038494014801569563	0.0	0.0	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__	0.0001241742412953857	0.002894329662328206	0.0008368346728499451	0.0	0.0007828967178560675	0.0015607472077256988
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353	0.0	0.0002730499681441704	0.0	0.0	0.00030111412225233364	0.00021948007608642636
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium	0.0	0.0	0.042434491535765964	0.0	0.07380307136404697	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus	0.0	0.0002730499681441704	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;g__UBA3789	0.0	0.0	0.0	0.0	0.00039144835892803375	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Romboutsia_D	0.0001241742412953857	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__	0.00017384393781353996	0.0004004732866114499	0.000366115169371851	0.0	0.0	0.0003536067892503536
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__	0.0032906173943277207	0.0009465732228997907	0.0036960198050872573	0.001143379830779785	0.0005118940078289672	0.004438374871969956
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A	0.00014900908955446283	0.0012378265222535724	0.00033124705800310325	9.628461732882401e-05	0.0012947907256850347	0.0002804467638882115
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;g__Megamonas	6.208712064769285e-05	0.0	0.0	0.01789690324599516	0.0	0.00019509340096571234
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae_23353;g__SIO2C1	0.0	0.0	0.00022664272389686011	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter	0.0	0.0	0.0	6.0177885830515e-05	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	0.11729498832762132	0.0	0.0005578897818999634	0.0	0.015868714242697982	0.00687704238404136
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.028348979287736553	0.001929553108218804	0.004497986366568455	0.015790677241927138	0.001084010840108401	0.00527971516363459
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0001806684733514002	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A_128155	0.0	0.0	0.0	9.628461732882401e-05	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium	0.0008071325684200069	0.00038226995540183856	0.0008891368399030667	0.012853996413398005	0.00027100271002710027	0.00274350095108033
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A	0.020675011175681716	0.015108764903977428	0.0335431231367353	0.03468653339270885	0.09244203553146643	0.05645515290445301
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C	0.0	0.0	0.0	0.00031292500631867803	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A_141781	0.17729598172155167	0.30164740147446983	0.2590700674697955	0.3268622046770253	0.24555856669677809	0.25441398819684924
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Paralachnospira	8.692196890676998e-05	0.0002912532993537817	0.00017434055684373856	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45	0.00011175681716584712	0.0	0.000854268728534319	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus	0.010542393085978244	0.01150450532447438	0.02142645443609547	0.000397174046481399	0.004787714543812105	0.029422523533141492
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_258471;f__Anaerofustaceae;g__Anaerofustis	0.0	9.101665604805679e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	7.450454477723141e-05	7.281332483844543e-05	0.00010460433410624314	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	0.0004966969651815428	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__	0.0	0.0001274233184672795	0.0011680817308530483	0.0	0.00045167118337850043	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_B	0.0	0.0	0.0	0.00012035577166103	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;g__RUG12438	0.00011175681716584712	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394	0.00037252272388615704	0.0	0.0	0.0	0.0	0.0009388869921474906
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;__	0.0	0.0	0.004009832807405987	0.0047540529806106855	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;__	0.0	0.0	0.008124269948918217	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Faecousia	0.0003104356032384642	0.00415035951579139	0.0028417510765529385	0.0	0.00021077988557663353	0.004279861483685314
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	4.966969651815427e-05	0.00014562664967689086	0.0	0.001877550037912068	9.03342366757001e-05	6.09666878017851e-05
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella	0.0	0.0	0.0015516309559092732	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I	0.0016266825609695524	0.001729316464913079	0.0010634773967468053	0.0	0.001084010840108401	0.005804028678729942
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Massilistercora	0.0	0.0	0.0	0.0	0.0	0.00032922011412963957
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__ER4	0.0027069984602394077	0.0020569764266860835	0.005230216705312157	0.0	0.00039144835892803375	0.0007681802663024924
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A_187866	0.005314657527442508	0.00697187585328115	0.005857842709949616	0.004176345276637741	0.005901836796145739	0.006096668780178511
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus	0.0023220583122237123	0.010102848821334304	0.011192663749368016	0.001672945226088317	0.013399578440228847	0.020192166999951227
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173	0.0	0.0	0.0	0.0	0.0	0.00021948007608642636
d__Bacteria;p__Firmicutes_B_370539;c__Peptococcia;o__Peptococcales;f__BICA1-8;g__BICA1-8	0.0	0.0	0.0	0.0	0.00012044564890093345	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A	0.0	0.0	0.0	0.000445316355145811	0.0	4.8773350241428086e-05
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus	0.0	0.0	0.0	9.628461732882401e-05	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871404	0.0	0.00010921998725766815	0.0	0.0	6.0222824450466725e-05	0.00014632005072428425
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R	0.0	0.007172112496586875	0.0009065708955874405	0.0	0.0017163504968383018	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger_A_73129	0.061354492624050065	0.06760717211249659	0.012866333095067906	0.027212439972558886	0.013399578440228847	0.1521240794030142
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister	0.012106988526300105	0.03196504960407755	0.036646385048553845	0.002070119272569716	0.005781391147244806	0.016875579183534117
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-488	0.0	0.003986529534904888	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ	0.0	0.0005460999362883408	0.0	0.000710099052800077	0.0	6.09666878017851e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D	0.0033278696667163364	9.101665604805679e-05	0.00045328544779372023	9.628461732882401e-05	0.00045167118337850043	0.00045115348973320975
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313	0.0	3.6406662419222716e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Bacillales_B_306089;f__Bacillaceae_H_294103;g__Bacillus_P_294101	0.0	0.0	0.0	6.0177885830515e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267	0.0	0.0	0.0	0.0	0.0	0.00010974003804321318
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775	0.09185168628619679	0.07448803130972968	0.04395125438030649	0.22416262471866838	0.04170430593194821	0.021582207481831928
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127	0.0	0.00010921998725766815	0.00289405324360606	0.0	0.0003613369467028004	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter	0.0	0.0	0.0	0.0	0.0006022282445046673	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__;f__;g__	0.0	0.0012560298534631837	0.0	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Romboutsia_B	0.020364575572443252	0.04266860835532903	0.019142593141442493	0.002214546198562952	0.011592893706714845	0.0019997073598985514
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__;g__	0.0	0.00016382998088650222	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__;__	0.0	9.101665604805679e-05	0.0009414390069561882	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	0.0012044901405652412	0.00018203331209611358	0.001080911452431179	0.00012035577166103	0.0	0.000560893527776423
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__	0.00014900908955446283	0.0002730499681441704	0.0005578897818999634	0.000589743281139047	0.0	0.0006218602155782081
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_H	0.00039735757214523417	0.002930736324747429	0.00010460433410624314	0.001299842333939124	0.00042155977115326706	0.00413354143296103
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia	0.0054760840411265084	0.009520342222626741	0.0175386600184801	0.002130297158400231	0.01752484191508582	0.0008047602789835634
