# Constructed from biom file
#OTU ID	SP_F1	SP_F2	SP_F3	SP_M1	SP_M2	SP_M3
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__	0.0	9.101665604805679e-05	0.0009414390069561882	0.0	0.0002408912978018669	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.000918889385585854	0.0038773095476472195	0.0019874823480186196	0.002443222164718909	0.0008130081300813008	0.0064868555821099355
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__	8.692196890676998e-05	0.0006007099299171749	0.00013947244547499085	0.0	0.0002408912978018669	6.09666878017851e-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	0.0	7.281332483844543e-05	0.0	0.000252747120488163	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Butyricicoccaceae	0.00546366661699697	0.00016382998088650222	0.0020049164037029936	0.0035504952640003852	0.00015055706112616682	0.0069623957469638585
d__Bacteria;p__Firmicutes_B_370539;c__Dehalobacteriia;o__Dehalobacteriales;f__Dehalobacteriaceae	0.0	0.0	0.0	0.0	0.0	7.316002536214213e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Anaerotignaceae	0.0011920727164357026	0.00038226995540183856	0.002423333740127966	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592524;f__Burkholderiaceae_A_574938	6.208712064769285e-05	0.0001274233184672795	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__	0.0	0.0	0.0	0.0	0.0	3.658001268107106e-05
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__UBA1381;f__UBA1381	0.004867630258779119	0.002603076362974424	0.010338395020833696	0.000216640388989854	0.0032520325203252032	0.00687704238404136
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__Christensenellaceae	0.0	7.281332483844543e-05	0.0001917746125281124	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__TANB77;f__CAG-508	0.0032036954254209505	0.017165741330663512	0.00244076779581234	0.00018053365749154501	0.007497741644083108	0.0015729405452860558
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__MARSEILLE-P3954	0.0	0.00032765996177300445	0.0	0.0	6.0222824450466725e-05	2.4386675120714043e-05
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.002334475736353251	0.017766451260580685	0.00122038389790617	9.628461732882401e-05	0.0014754591990364348	0.0014875871823635566
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__GCA-900066905	0.0	7.281332483844543e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0	0.0	0.0	2.4071154332206002e-05	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0.0004346098445338499	0.0005825065987075634	0.0002789448909499817	0.001191522139444197	0.0002408912978018669	0.00037799346437106767
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.0	0.0	0.0014818947331717777	0.000216640388989854	0.0	0.0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae	0.0	0.0	0.0022489931832842276	0.0	0.0	0.0006584402282592791
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__CAG-272	0.0	0.0002184399745153363	0.0	0.0	0.0	2.4386675120714043e-05
d__Archaea;p__Methanobacteriota_A_1229;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0009685590821040083	0.0	0.001080911452431179	0.000252747120488163	0.0018066847335140017	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae	0.002421397705260021	0.002694093019022481	0.0033124705800310324	0.000457351932311914	0.001746461909063535	0.0015119738574842707
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521	0.0	0.0	0.0	2.4071154332206002e-05	0.0	0.0
